,"Last updated: Sep 5th, 2025 by Nila",,GENERAL INFORMATION,,,,,,,,,DEFENSIVE STATS - SUMMARY,,,,,,,,DEFENSIVE STATS - BREAKDOWN & DETAIL,,,,,,,,,DEFENSIVE STATS - RAW NUMBER,,,,,OFFENSIVE STATS - SUMMARY,,,,,,,,,,,OFFENSIVE STATS - BREAKDOWN & DETAIL,,,,,,,,,OFFENSIVE STATS - RAW NUMBER,,,,,MISCELLANEOUS,
10101,57,Verit,178,178,72,Undead,Undead,Medium,Final M.DMG Bonus +6%,Headgear,,"144,687",17.05%,17.05%,0.00%,0.00%,20.72%,20.72%,,17.050%,0.000%,17.050%,0.000%,20.720%,0.000%,20.720%,0.000%,,191,191,268,268,,"6,340","4,227",214,0,14.47%,18.15%,0.00%,0.00%,9.60%,9.60%,,14.467%,0.000%,18.150%,0.000%,9.600%,0.000%,9.600%,0.000%,,142,213,71,71,,Pyramid 2F,Normal
10118,57,Marduk,200,334,108,Fire,Demi-Human,Large,Final P.DMG Bonus +6%,Headgear,,"217,030",22.24%,27.83%,0.00%,0.00%,10.13%,10.13%,,22.240%,0.000%,27.833%,0.000%,10.133%,0.000%,10.133%,0.000%,,306,460,77,77,,"7,906","5,271",214,0,14.47%,18.15%,0.00%,0.00%,9.60%,9.60%,,14.467%,0.000%,18.150%,0.000%,9.600%,0.000%,9.600%,0.000%,,142,213,71,71,,Sphinx Cavern,Normal
10073,58,Marine Sphere,91,91,36,Water,Plant,Small,Final P.DMG Bonus +6%,Accessory,,"77,884",17.55%,17.55%,0.00%,0.00%,21.24%,21.24%,,17.550%,0.000%,17.550%,0.000%,21.240%,0.000%,21.240%,0.000%,,201,201,281,281,,0,0,228,0,14.87%,18.65%,0.00%,0.00%,9.90%,9.90%,,14.867%,0.000%,18.650%,0.000%,9.900%,0.000%,9.900%,0.000%,,148,223,74,74,,Underwater Cave,Normal
10103,58,Isis,341,205,108,Shadow,Demon,Large,"Final M.DEF +3%
Final M.DMG RED +3%",Shoes,,"233,652",25.87%,25.87%,0.00%,0.00%,10.33%,10.33%,,25.867%,0.000%,25.867%,0.000%,10.333%,0.000%,10.333%,0.000%,,401,401,80,80,,"5,031","7,546",0,228,18.65%,14.87%,0.00%,0.00%,9.90%,9.90%,,18.650%,0.000%,14.867%,0.000%,9.900%,0.000%,9.900%,0.000%,,223,148,74,74,,Pyramid 2F,Normal
10074,59,Swordfish,140,419,108,Water,Fish,Large,Final M.DEF +6%,Clothes,,"251,096",23.44%,29.30%,0.00%,0.00%,10.60%,10.60%,,23.440%,0.000%,29.300%,0.000%,10.600%,0.000%,10.600%,0.000%,,336,504,84,84,,"7,637","11,455",242,0,15.25%,19.10%,0.00%,0.00%,10.13%,10.13%,,15.250%,0.000%,19.100%,0.000%,10.133%,0.000%,10.133%,0.000%,,155,232,77,77,,Underwater Temple,Normal
10104,59,Minorous,349,209,108,Fire,Brute,Large,M.ATK +6%,Weapon,,"251,096",26.50%,26.50%,0.00%,0.00%,10.60%,10.60%,,26.500%,0.000%,26.500%,0.000%,10.600%,0.000%,10.600%,0.000%,,420,420,84,84,,"7,908","5,272",0,242,19.10%,15.25%,0.00%,0.00%,10.13%,10.13%,,19.100%,0.000%,15.250%,0.000%,10.133%,0.000%,10.133%,0.000%,,232,155,77,77,,Pyramid 2F,Normal
10076,60,Marse,95,95,43,Water,Fish,Small,Final M.DMG RED +6%,Cloak,,"91,639",18.70%,18.70%,0.00%,0.00%,22.52%,22.52%,,18.700%,0.000%,18.700%,0.000%,22.520%,0.000%,22.520%,0.000%,,224,224,313,313,,"4,033","2,689",257,0,15.55%,19.55%,0.00%,0.00%,10.33%,10.33%,,15.550%,0.000%,19.550%,0.000%,10.333%,0.000%,10.333%,0.000%,,161,241,80,80,,Underwater Temple,Normal
10116,60,Zerom,238,143,86,Fire,Demi-Human,Medium,Final M.DMG Bonus +6%,Accessory,,"183,278",30.34%,24.32%,0.00%,0.00%,10.93%,10.93%,,30.343%,0.000%,24.320%,0.000%,10.933%,0.000%,10.933%,0.000%,,537,358,89,89,,"5,494","3,662",0,257,19.55%,15.55%,0.00%,0.00%,10.33%,10.33%,,19.550%,0.000%,15.550%,0.000%,10.333%,0.000%,10.333%,0.000%,,241,161,80,80,,Sphinx Cavern,Normal
10075,61,Obeaune,147,245,86,Water,Fish,Medium,Stun RES +30%,Accessory,,"233,626",27.93%,27.93%,0.00%,0.00%,11.20%,11.20%,,27.933%,0.000%,27.933%,0.000%,11.200%,0.000%,11.200%,0.000%,,463,463,93,93,,"6,105","4,070",0,272,20.00%,15.85%,0.00%,0.00%,10.53%,10.53%,,20.000%,0.000%,15.850%,0.000%,10.533%,0.000%,10.533%,0.000%,,250,167,83,83,,Underwater Temple,Normal
10086,61,Arclouze,123,74,43,Earth,Insect,Small,"Water Enhance +10%
Wind Enhance +10%",Weapon,,"116,813",24.80%,30.86%,0.00%,0.00%,11.20%,11.20%,,24.800%,0.000%,30.857%,0.000%,11.200%,0.000%,11.200%,0.000%,,370,555,93,93,,"1,393","2,089",272,0,15.85%,20.00%,0.00%,0.00%,10.53%,10.53%,,15.850%,0.000%,20.000%,0.000%,10.533%,0.000%,10.533%,0.000%,,167,250,83,83,,Pyramid 2F,Normal
10029,62,Wormtail,202,202,86,Earth,Plant,Medium,Freeze RES +30%,Accessory,,"251,941",31.69%,25.47%,0.00%,0.00%,11.47%,11.47%,,31.686%,0.000%,25.467%,0.000%,11.467%,0.000%,11.467%,0.000%,,584,389,97,97,,"2,426","3,639",0,289,20.40%,16.15%,0.00%,0.00%,10.80%,10.80%,,20.400%,0.000%,16.150%,0.000%,10.800%,0.000%,10.800%,0.000%,,260,173,87,87,,Payon South,Normal
10117,62,Requiem,253,152,86,Shadow,Demi-Human,Medium,"Earth Enhance +10%
Fire Enhance +10%",Weapon,,"251,941",31.69%,25.47%,0.00%,0.00%,11.47%,11.47%,,31.686%,0.000%,25.467%,0.000%,11.467%,0.000%,11.467%,0.000%,,584,389,97,97,,"5,268","3,512",0,289,20.40%,16.15%,0.00%,0.00%,10.80%,10.80%,,20.400%,0.000%,16.150%,0.000%,10.800%,0.000%,10.800%,0.000%,,260,173,87,87,,Sphinx Cavern,Normal
10038,63,Bigfoot,234,390,129,Earth,Brute,Large,"Holy Enhance +10%
Neutral Enhance +10%",Weapon,,"406,347",26.10%,32.46%,0.00%,0.00%,11.80%,11.80%,,26.100%,0.000%,32.457%,0.000%,11.800%,0.000%,11.800%,0.000%,,408,611,102,102,,"6,171","9,256",306,0,16.50%,20.80%,0.00%,0.00%,11.00%,11.00%,,16.500%,0.000%,20.800%,0.000%,11.000%,0.000%,11.000%,0.000%,,180,270,90,90,,Payon West,Normal
10053,63,Snake,104,312,86,Earth,Brute,Medium,"Ghost Enhance +10%
Poison Enhance +10%",Weapon,,"270,898",29.47%,29.47%,0.00%,0.00%,11.80%,11.80%,,29.467%,0.000%,29.467%,0.000%,11.800%,0.000%,11.800%,0.000%,,509,509,102,102,,"5,803","3,869",0,306,20.80%,16.50%,0.00%,0.00%,11.00%,11.00%,,20.800%,0.000%,16.500%,0.000%,11.000%,0.000%,11.000%,0.000%,,270,180,90,90,,Payon West,Normal
10050,64,Wolf,268,161,86,Earth,Brute,Medium,Final ASPD +40%,Weapon,,"290,911",20.68%,20.68%,0.00%,0.00%,24.92%,24.92%,,20.680%,0.000%,20.680%,0.000%,24.920%,0.000%,24.920%,0.000%,,267,267,373,373,,"4,082","2,721",324,0,16.85%,21.20%,0.00%,0.00%,11.20%,11.20%,,16.850%,0.000%,21.200%,0.000%,11.200%,0.000%,11.200%,0.000%,,187,280,93,93,,Payon West,Normal
10119,64,Pasana,321,321,129,Fire,Demi-Human,Large,"Neutral Damage from Monster -10%
Shadow Damage from Monster -10%
Wind Damage from Monster -10%",Clothes,,"436,367",26.73%,33.29%,0.00%,0.00%,12.13%,12.13%,,26.733%,0.000%,33.286%,0.000%,12.133%,0.000%,12.133%,0.000%,,427,640,107,107,,"5,079","7,619",324,0,16.85%,21.20%,0.00%,0.00%,11.20%,11.20%,,16.850%,0.000%,21.200%,0.000%,11.200%,0.000%,11.200%,0.000%,,187,280,93,93,,Sphinx Cavern,Normal
10097,65,Skeleton,220,220,86,Undead,Undead,Medium,Bonus DMG to Large +10%,Weapon,,"311,740",34.09%,27.37%,0.00%,0.00%,12.40%,12.40%,,34.086%,0.000%,27.367%,0.000%,12.400%,0.000%,12.400%,0.000%,,668,446,111,111,,"9,161","6,108",0,342,21.64%,17.20%,0.00%,0.00%,11.47%,11.47%,,21.640%,0.000%,17.200%,0.000%,11.467%,0.000%,11.467%,0.000%,,291,194,97,97,,Munak Cave 1F,Normal
10154,65,Anubis,495,165,129,Undead,Demi-Human,Large,Final Crit +8%,Weapon,,"467,610",27.37%,34.09%,0.00%,0.00%,12.40%,12.40%,,27.367%,0.000%,34.086%,0.000%,12.400%,0.000%,12.400%,0.000%,,446,668,111,111,,"6,847","10,271",342,0,17.20%,21.64%,0.00%,0.00%,11.47%,11.47%,,17.200%,0.000%,21.640%,0.000%,11.467%,0.000%,11.467%,0.000%,,194,291,97,97,,Sphinx Cavern,Normal
10036,66,Elder Willow,339,339,129,Fire,Plant,Large,Blind RES +10%,Headgear,,"500,108",31.60%,31.60%,0.00%,0.00%,12.73%,12.73%,,31.600%,0.000%,31.600%,0.000%,12.733%,0.000%,12.733%,0.000%,,581,581,116,116,,"7,921","11,881",0,361,22.04%,17.55%,0.00%,0.00%,11.67%,11.67%,,22.040%,0.000%,17.550%,0.000%,11.667%,0.000%,11.667%,0.000%,,301,201,100,100,,Payon East Forest,Normal
10089,66,Munak,226,226,86,Undead,Undead,Medium,Bonus DMG to Medium +10%,Weapon,,"333,405",21.60%,21.60%,0.00%,0.00%,26.07%,26.07%,,21.600%,0.000%,21.600%,0.000%,26.067%,0.000%,26.067%,0.000%,,290,290,407,407,,"10,710","7,140",361,0,17.55%,22.04%,0.00%,0.00%,11.67%,11.67%,,17.550%,0.000%,22.040%,0.000%,11.667%,0.000%,11.667%,0.000%,,201,301,100,100,,Munak Cave 1F,Normal
10078,67,Marc,116,116,43,Water,Fish,Small,"Fire Damage from Monster -10%
Ghost Damage from Monster -10%
Earth Damage Monster -10%",Clothes,,"178,235",32.31%,32.31%,0.00%,0.00%,13.07%,13.07%,,32.314%,0.000%,32.314%,0.000%,13.067%,0.000%,13.067%,0.000%,,606,606,121,121,,"2,580","3,870",0,381,22.44%,17.90%,0.00%,0.00%,11.93%,11.93%,,22.440%,0.000%,17.900%,0.000%,11.933%,0.000%,11.933%,0.000%,,311,208,104,104,,Underwater Temple,Normal
10090,67,Bongun,232,232,86,Undead,Undead,Medium,Immobilize RES +10%,Accessory,,"356,469",32.31%,32.31%,0.00%,0.00%,13.07%,13.07%,,32.314%,0.000%,32.314%,0.000%,13.067%,0.000%,13.067%,0.000%,,606,606,121,121,,"7,862","5,241",0,381,22.44%,17.90%,0.00%,0.00%,11.93%,11.93%,,22.440%,0.000%,17.900%,0.000%,11.933%,0.000%,11.933%,0.000%,,311,208,104,104,,Munak Cave 1F,Normal
10041,68,Dokebi,149,89,43,Shadow,Demon,Small,"Water Damage from Monster -10%
Damage from from Monster -10%
Poison Damage from Monster -10%",Clothes,,"189,950",36.40%,29.30%,0.00%,0.00%,13.40%,13.40%,,36.400%,0.000%,29.300%,0.000%,13.400%,0.000%,13.400%,0.000%,,756,504,126,126,,"3,722","2,481",0,401,22.88%,18.20%,0.00%,0.00%,12.13%,12.13%,,22.880%,0.000%,18.200%,0.000%,12.133%,0.000%,12.133%,0.000%,,322,214,107,107,,Munak Cave 1F,Normal
10043,68,Greatest General,446,268,129,Fire,Formless,Large,Petrify RES +30%,Accessory,,"569,849",36.40%,29.30%,0.00%,0.00%,13.40%,13.40%,,36.400%,0.000%,29.300%,0.000%,13.400%,0.000%,13.400%,0.000%,,756,504,126,126,,"11,070","7,380",0,401,22.88%,18.20%,0.00%,0.00%,12.13%,12.13%,,22.880%,0.000%,18.200%,0.000%,12.133%,0.000%,12.133%,0.000%,,322,214,107,107,,Payon East Forest,Normal
10079,69,Deviace,61,183,43,Water,Fish,Small,Bonus DMG to Small +10%,Weapon,,"202,114",29.93%,37.10%,0.00%,0.00%,13.73%,13.73%,,29.933%,0.000%,37.100%,0.000%,13.733%,0.000%,13.733%,0.000%,,523,784,131,131,,"3,780","5,670",422,0,18.55%,23.28%,0.00%,0.00%,12.40%,12.40%,,18.550%,0.000%,23.280%,0.000%,12.400%,0.000%,12.400%,0.000%,,221,332,111,111,,Underwater Temple,Normal
10091,69,Sohee,244,244,86,Water,Demon,Medium,Reduced DMG from Large +10%,Shoes,,"404,228",23.08%,23.08%,0.00%,0.00%,27.77%,27.77%,,23.080%,0.000%,23.080%,0.000%,27.767%,0.000%,27.767%,0.000%,,327,327,458,458,,"7,121","10,682",422,0,18.55%,23.28%,0.00%,0.00%,12.40%,12.40%,,18.550%,0.000%,23.280%,0.000%,12.400%,0.000%,12.400%,0.000%,,221,332,111,111,,Munak Cave 2F,Normal
10037,70,Eggyra,125,375,100,Ghost,Formless,Medium,Reduced DMG from Large +10%,Shoes,,"429,476",23.56%,23.56%,0.00%,0.00%,28.30%,28.30%,,23.560%,0.000%,23.560%,0.000%,28.300%,0.000%,28.300%,0.000%,,339,339,474,474,,"6,454","9,681",443,0,18.90%,23.68%,0.00%,0.00%,12.60%,12.60%,,18.900%,0.000%,23.680%,0.000%,12.600%,0.000%,12.600%,0.000%,,228,342,114,114,,Payon East Forest,Normal
10092,70,Nine Tail,125,125,50,Fire,Brute,Small,"Damage from Demon Mobs -10%
Damage from Fish Mobs -10%
Damage from Dragon -10%",Cloak,,"214,738",34.37%,34.37%,0.00%,0.00%,14.07%,14.07%,,34.371%,0.000%,34.371%,0.000%,14.067%,0.000%,14.067%,0.000%,,678,678,136,136,,"1,986","2,979",0,443,23.68%,18.90%,0.00%,0.00%,12.60%,12.60%,,23.680%,0.000%,18.900%,0.000%,12.600%,0.000%,12.600%,0.000%,,342,228,114,114,,Payon West,Normal
10042,71,Horong,128,128,50,Fire,Formless,Small,Sleep RES +30%,Accessory,,"264,663",34.97%,34.97%,0.00%,0.00%,14.33%,14.33%,,34.971%,0.000%,34.971%,0.000%,14.333%,0.000%,14.333%,0.000%,,699,699,140,140,,"6,998","4,666",0,463,24.04%,19.20%,0.00%,0.00%,12.80%,12.80%,,24.040%,0.000%,19.200%,0.000%,12.800%,0.000%,12.800%,0.000%,,351,234,117,117,,Munak Cave 2F,Normal
10111,71,Flail-wielding Goblin,320,192,100,Fire,Demi-Human,Medium,Curse RES +30%,Headgear,,"529,326",38.48%,30.97%,0.00%,0.00%,14.33%,14.33%,,38.475%,0.000%,30.971%,0.000%,14.333%,0.000%,14.333%,0.000%,,839,559,140,140,,"4,888","7,332",0,463,24.04%,19.20%,0.00%,0.00%,12.80%,12.80%,,24.040%,0.000%,19.200%,0.000%,12.800%,0.000%,12.800%,0.000%,,351,234,117,117,,Goblin Forest,Normal
10120,72,Orc Zombie,295,491,150,Undead,Undead,Large,"Damage from Formless Mobs -10%
Damage from Demi-Human Mobs -10%
Damage from Plant Mobs -10%",Cloak,,"844,124",35.63%,35.63%,0.00%,0.00%,14.67%,14.67%,,35.625%,0.000%,35.625%,0.000%,14.667%,0.000%,14.667%,0.000%,,725,725,145,145,,"33,275","22,184",0,486,24.48%,19.60%,0.00%,0.00%,13.07%,13.07%,,24.480%,0.000%,19.600%,0.000%,13.067%,0.000%,13.067%,0.000%,,362,242,121,121,,Orc Dungeon,Normal
10158,72,Orc Baby,131,131,50,Earth,Demi-Human,Small,Silence RES +30%,Accessory,,"281,375",39.25%,31.57%,0.00%,0.00%,14.67%,14.67%,,39.250%,0.000%,31.571%,0.000%,14.667%,0.000%,14.667%,0.000%,,870,580,145,145,,"3,347","2,231",0,486,24.48%,19.60%,0.00%,0.00%,13.07%,13.07%,,24.480%,0.000%,19.600%,0.000%,13.067%,0.000%,13.067%,0.000%,,362,242,121,121,,Orc Village,Normal
10109,73,Mace-wielding Goblin,268,268,100,Water,Demi-Human,Medium,"Poison RES +10% (for debuff ""Poisoned"")",Headgear,,"597,264",40.04%,32.17%,0.00%,0.00%,15.00%,15.00%,,40.044%,0.000%,32.171%,0.000%,15.000%,0.000%,15.000%,0.000%,,902,601,150,150,,"12,562","18,842",0,511,24.96%,19.95%,0.00%,0.00%,13.33%,13.33%,,24.960%,0.000%,19.950%,0.000%,13.333%,0.000%,13.333%,0.000%,,374,249,125,125,,Goblin Forest,Normal
10128,73,Mace-wielding Kobold,335,201,100,Fire,Demi-Human,Medium,Bleed RES +10%,Headgear,,"597,264",36.30%,36.30%,0.00%,0.00%,15.00%,15.00%,,36.300%,0.000%,36.300%,0.000%,15.000%,0.000%,15.000%,0.000%,,752,752,150,150,,"7,549","5,033",0,511,24.96%,19.95%,0.00%,0.00%,13.33%,13.33%,,24.960%,0.000%,19.950%,0.000%,13.333%,0.000%,13.333%,0.000%,,374,249,125,125,,Kordt Forest,Normal
10132,74,Jakk,206,69,50,Fire,Formless,Small,"Damage from Insect Mobs -10%
Damage from Undead Mobs -10%
Damage from Brute Mobs -10%",Cloak,,"316,858",25.47%,25.47%,0.00%,0.00%,30.57%,30.57%,,25.467%,0.000%,25.467%,0.000%,30.571%,0.000%,30.571%,0.000%,,389,389,545,545,,"3,385","5,077",538,0,20.32%,25.37%,0.00%,0.00%,13.60%,13.60%,,20.320%,0.000%,25.367%,0.000%,13.600%,0.000%,13.600%,0.000%,,258,386,129,129,,Geffen Dungeon 1F,Normal
10157,74,Skeleton General,274,274,100,Undead,Undead,Medium,Reduced DMG froms Small +10%,Shoes,,"633,716",32.80%,40.78%,0.00%,0.00%,15.30%,15.30%,,32.800%,0.000%,40.778%,0.000%,15.300%,0.000%,15.300%,0.000%,,623,935,156,156,,"14,716","9,811",538,0,20.32%,25.37%,0.00%,0.00%,13.60%,13.60%,,20.320%,0.000%,25.367%,0.000%,13.600%,0.000%,13.600%,0.000%,,258,386,129,129,,Munak Cave 2F,Normal
10110,75,Hammer-wielding Goblin,350,210,100,Earth,Demi-Human,Medium,Armor Break RES +10%,Headgear,,"681,489",33.69%,41.82%,0.00%,0.00%,15.70%,15.70%,,33.686%,0.000%,41.822%,0.000%,15.700%,0.000%,15.700%,0.000%,,654,982,164,164,,"7,323","10,984",565,0,20.64%,25.80%,0.00%,0.00%,13.87%,13.87%,,20.640%,0.000%,25.800%,0.000%,13.867%,0.000%,13.867%,0.000%,,266,399,133,133,,Goblin Forest,Normal
10121,75,Orc Warrior,210,630,150,Earth,Demi-Human,Large,Weapon Break RES +10%,Headgear,,"1,022,234",26.13%,26.13%,0.00%,0.00%,31.37%,31.37%,,26.133%,0.000%,26.133%,0.000%,31.371%,0.000%,31.371%,0.000%,,409,409,573,573,,"16,815","25,223",565,0,20.64%,25.80%,0.00%,0.00%,13.87%,13.87%,,20.640%,0.000%,25.800%,0.000%,13.867%,0.000%,13.867%,0.000%,,266,399,133,133,,Orc Village,Normal
10122,76,Orc Skeleton,429,429,150,Undead,Undead,Large,Bonus DMG to Demon +12.5% ​,Weapon,,"1,075,517",26.50%,26.50%,0.00%,0.00%,31.83%,31.83%,,26.500%,0.000%,26.500%,0.000%,31.829%,0.000%,31.829%,0.000%,,420,420,589,589,,"22,960","34,439",593,0,20.96%,26.20%,0.00%,0.00%,14.13%,14.13%,,20.960%,0.000%,26.200%,0.000%,14.133%,0.000%,14.133%,0.000%,,274,411,137,137,,Orc Dungeon,Normal
10129,76,Hammer-wielding Kobold,286,286,100,Poison,Demi-Human,Medium,Physical Lifesteal +10%,Accessory,,"717,011",38.53%,38.53%,0.00%,0.00%,15.90%,15.90%,,38.525%,0.000%,38.525%,0.000%,15.900%,0.000%,15.900%,0.000%,,841,841,168,168,,"10,887","7,258",0,593,26.20%,20.96%,0.00%,0.00%,14.13%,14.13%,,26.200%,0.000%,20.960%,0.000%,14.133%,0.000%,14.133%,0.000%,,411,274,137,137,,Kordt Forest,Normal
10102,77,Ghoul,292,292,100,Undead,Undead,Medium,Variable Channeling Time -0.675s,Headgear,,"757,970",39.23%,39.23%,0.00%,0.00%,16.20%,16.20%,,39.225%,0.000%,39.225%,0.000%,16.200%,0.000%,16.200%,0.000%,,869,869,174,174,,"18,352","12,235",0,622,26.63%,21.28%,0.00%,0.00%,14.40%,14.40%,,26.633%,0.000%,21.280%,0.000%,14.400%,0.000%,14.400%,0.000%,,424,282,141,141,,Geffen Dungeon 1F,Normal
10112,77,Axe-wielding Goblin,292,292,100,Poison,Demi-Human,Medium,Variable cooldown -2.5s,Headgear,,"757,970",39.23%,39.23%,0.00%,0.00%,16.20%,16.20%,,39.225%,0.000%,39.225%,0.000%,16.200%,0.000%,16.200%,0.000%,,869,869,174,174,,"12,085","8,057",0,622,26.63%,21.28%,0.00%,0.00%,14.40%,14.40%,,26.633%,0.000%,21.280%,0.000%,14.400%,0.000%,14.400%,0.000%,,424,282,141,141,,Goblin Forest,Normal
10133,78,Marionette,149,149,50,Ghost,Demon,Small,Max HP +20%,Cloak,,"400,179",43.91%,35.43%,0.00%,0.00%,16.45%,16.45%,,43.911%,0.000%,35.425%,0.000%,16.450%,0.000%,16.450%,0.000%,,"1,076",717,179,179,,"7,710","5,140",0,651,27.03%,21.64%,0.00%,0.00%,14.67%,14.67%,,27.033%,0.000%,21.640%,0.000%,14.667%,0.000%,14.667%,0.000%,,436,291,145,145,,Geffen Dungeon 1F,Normal
10155,78,Giant Whisper,335,559,150,Ghost,Demon,Large,Final DMG P.RED +10%,Cloak,,"1,200,538",35.43%,43.91%,0.00%,0.00%,16.45%,16.45%,,35.425%,0.000%,43.911%,0.000%,16.450%,0.000%,16.450%,0.000%,,717,"1,076",179,179,,"39,697","26,465",651,0,21.64%,27.03%,0.00%,0.00%,14.67%,14.67%,,21.640%,0.000%,27.033%,0.000%,14.667%,0.000%,14.667%,0.000%,,291,436,145,145,,Munak Cave 2F,Normal
10034,79,Ground Petite,304,304,100,Earth,Dragon,Medium,Bonus DMG ​​Damage to Formless +12.5%,Weapon,,"683,157",36.20%,36.20%,0.00%,0.00%,15.00%,15.00%,,36.200%,0.000%,36.200%,0.000%,15.000%,0.000%,15.000%,0.000%,,748,748,150,150,,"8,833","13,249",0,682,27.47%,21.96%,0.00%,0.00%,15.00%,15.00%,,27.467%,0.000%,21.960%,0.000%,15.000%,0.000%,15.000%,0.000%,,449,299,150,150,,Mjolnir Mountains,Normal
10113,79,Dagger-wielding Goblin,304,304,100,Wind,Demi-Human,Medium,Max HP +20%,Shoes,,"844,209",44.64%,36.00%,0.00%,0.00%,16.75%,16.75%,,44.644%,0.000%,36.000%,0.000%,16.750%,0.000%,16.750%,0.000%,,"1,109",740,185,185,,"6,106","9,160",0,682,27.47%,21.96%,0.00%,0.00%,15.00%,15.00%,,27.467%,0.000%,21.960%,0.000%,15.000%,0.000%,15.000%,0.000%,,449,299,150,150,,Goblin Forest,Normal
10035,80,Sky Petite,349,581,174,Wind,Dragon,Large,Max HP +20%,Clothes,,"1,077,550",40.51%,32.57%,0.00%,0.00%,15.20%,15.20%,,40.511%,0.000%,32.571%,0.000%,15.200%,0.000%,15.200%,0.000%,,923,615,154,154,,"16,192","24,288",0,713,27.87%,22.32%,0.00%,0.00%,15.20%,15.20%,,27.867%,0.000%,22.320%,0.000%,15.200%,0.000%,15.200%,0.000%,,461,308,154,154,,Mjolnir Mountains,Normal
10151,80,Baphomet Jr.,78,233,58,Shadow,Demon,Small,Final M.DMG RED +10%,Cloak,,"444,776",41.16%,41.16%,0.00%,0.00%,17.00%,17.00%,,41.156%,0.000%,41.156%,0.000%,17.000%,0.000%,17.000%,0.000%,,952,952,190,190,,"4,960","3,307",0,713,27.87%,22.32%,0.00%,0.00%,15.20%,15.20%,,27.867%,0.000%,22.320%,0.000%,15.200%,0.000%,15.200%,0.000%,,461,308,154,154,,Labyrinth Forest,Normal
10114,81,Goblin Archer,119,198,58,Poison,Demi-Human,Small,Bonus DMG to Insect +12.5%,Weapon,,"533,350",37.05%,45.96%,0.00%,0.00%,17.25%,17.25%,,37.050%,0.000%,45.960%,0.000%,17.250%,0.000%,17.250%,0.000%,,782,"1,173",195,195,,"4,736","7,103",759,0,22.88%,28.60%,0.00%,0.00%,15.55%,15.55%,,22.880%,0.000%,28.600%,0.000%,15.550%,0.000%,15.550%,0.000%,,322,483,161,161,,Goblin Forest,Normal
10166,81,Carat,158,158,46,Wind,Demon,Small,Heal Bonus +10%,Headgear,,"533,350",41.71%,41.71%,0.00%,0.00%,17.25%,17.25%,,41.711%,0.000%,41.711%,0.000%,17.250%,0.000%,17.250%,0.000%,,977,977,195,195,,"6,557","4,371",0,759,28.60%,22.88%,0.00%,0.00%,15.55%,15.55%,,28.600%,0.000%,22.880%,0.000%,15.550%,0.000%,15.550%,0.000%,,483,322,161,161,,Glast Heim,Normal
10130,82,Kobold Archer,161,161,58,Fire,Demi-Human,Small,Bonus DMG to Fish +12.5%,Weapon,,"562,145",29.30%,29.30%,0.00%,0.00%,35.13%,35.13%,,29.300%,0.000%,29.300%,0.000%,35.125%,0.000%,35.125%,0.000%,,504,504,705,705,,"6,414","4,276",794,0,23.24%,29.07%,0.00%,0.00%,15.80%,15.80%,,23.240%,0.000%,29.067%,0.000%,15.800%,0.000%,15.800%,0.000%,,331,497,166,166,,Kordt Forest,Normal
10168,82,Raydric,242,403,93,Shadow,Demi-Human,Medium,"Final P.DEF +5%
Final M.DEF +5%",Shoes,,"1,124,289",29.30%,29.30%,0.00%,0.00%,35.13%,35.13%,,29.300%,0.000%,29.300%,0.000%,35.125%,0.000%,35.125%,0.000%,,504,504,705,705,,"5,208","7,812",794,0,23.24%,29.07%,0.00%,0.00%,15.80%,15.80%,,23.240%,0.000%,29.067%,0.000%,15.800%,0.000%,15.800%,0.000%,,331,497,166,166,,Glast Heim St. Abbey,Normal
10123,83,Orc Lady,328,328,116,Earth,Demi-Human,Medium,Bonus DMG to Demi-Human +12.5%,Weapon,,"1,183,798",38.25%,47.40%,0.00%,0.00%,17.85%,17.85%,,38.250%,0.000%,47.400%,0.000%,17.850%,0.000%,17.850%,0.000%,,830,"1,245",207,207,,"6,970","10,455",830,0,23.64%,29.53%,0.00%,0.00%,16.00%,16.00%,,23.640%,0.000%,29.533%,0.000%,16.000%,0.000%,16.000%,0.000%,,341,511,170,170,,Orc Village,Normal
10134,83,Deviruchi,246,82,58,Shadow,Demon,Small,Bonus Healing Receive +10%,Headgear,,"485,907",34.46%,42.71%,0.00%,0.00%,16.00%,16.00%,,34.457%,0.000%,42.711%,0.000%,16.000%,0.000%,16.000%,0.000%,,681,"1,022",170,170,,"4,337","6,505",830,0,23.64%,29.53%,0.00%,0.00%,16.00%,16.00%,,23.640%,0.000%,29.533%,0.000%,16.000%,0.000%,16.000%,0.000%,,341,511,170,170,,Geffen Dungeon 2F,Normal
10124,84,Zenorc,334,334,116,Shadow,Demi-Human,Medium,Bonus DMG to Undead +12.5%,Weapon,,"1,245,265",43.73%,43.73%,0.00%,0.00%,18.20%,18.20%,,43.733%,0.000%,43.733%,0.000%,18.200%,0.000%,18.200%,0.000%,,"1,068","1,068",214,214,,"12,271","8,181",0,867,30.00%,24.00%,0.00%,0.00%,16.25%,16.25%,,30.000%,0.000%,24.000%,0.000%,16.250%,0.000%,16.250%,0.000%,,525,350,175,175,,Orc Dungeon,Normal
